family	task	label	positive_count	negative_count	test_size	random_seed	model	Accuracy	Balanced Accuracy	ROC AUC	F1 Score	Precision	Recall	Time Taken
BAHD	acceptor	acceptor_superclass::Flavonoids	42	324	0.25	1	CalibratedClassifierCV	0.8804347826086957	0.5	0.9214365881032548	0.8244533802462931	0.7751654064272211	0.8804347826086957	3.5495998859405518
BAHD	acceptor	acceptor_superclass::Flavonoids	42	324	0.25	1	DummyClassifier	0.8804347826086957	0.5	0.5	0.8244533802462931	0.7751654064272211	0.8804347826086957	0.0684514045715332
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	ExtraTreeClassifier	0.8478260869565217	0.6951219512195121	0.6951219512195123	0.8586050724637682	0.8729893295110686	0.8478260869565217	0.05770421028137207
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	GaussianNB	0.8043478260869565	0.6707317073170731	0.6426829268292682	0.8272814142379359	0.8612743177960569	0.8043478260869565	0.06089329719543457
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	BernoulliNB	0.7717391304347826	0.6524390243902439	0.6628048780487805	0.8040315705524846	0.8544163531916134	0.7717391304347826	0.06786036491394043
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	NearestCentroid	0.7717391304347826	0.6524390243902439	0.6329268292682927	0.8040315705524846	0.8544163531916134	0.7717391304347826	0.09444379806518555
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	AdaBoostClassifier	0.9021739130434783	0.6378048780487805	0.7304878048780489	0.8873166966812451	0.884807596201899	0.9021739130434783	3.995102882385254
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	LinearDiscriminantAnalysis	0.8586956521739131	0.6134146341463415	0.7128048780487805	0.855405311698218	0.8523659856818577	0.8586956521739131	0.19582271575927734
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	QuadraticDiscriminantAnalysis	0.30434782608695654	0.6097560975609756	0.6097560975609756	0.3467494824016563	0.9059929494712103	0.30434782608695654	0.1663987636566162
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	SVC	0.9130434782608695	0.6	0.7963414634146342	0.8860802157061004	0.9207729468599034	0.9130434782608695	0.18018674850463867
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	KNeighborsClassifier	0.9021739130434783	0.5939024390243902	0.7463414634146341	0.8778384087308572	0.8836508711936168	0.9021739130434783	0.06231570243835449
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	LGBMClassifier	0.9021739130434783	0.5939024390243902	0.7329268292682927	0.8778384087308572	0.8836508711936168	0.9021739130434783	2.313523530960083
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	XGBClassifier	0.9021739130434783	0.5939024390243902	0.6682926829268293	0.8778384087308572	0.8836508711936168	0.9021739130434783	2.525343418121338
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	LogisticRegression	0.8586956521739131	0.5695121951219512	0.7048780487804879	0.8474968222123529	0.8384727804165145	0.8586956521739131	0.1515641212463379
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	RidgeClassifierCV	0.8478260869565217	0.5634146341463415	0.7695121951219512	0.8402886909958676	0.8335921325051759	0.8478260869565217	0.6251001358032227
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	RidgeClassifier	0.8478260869565217	0.5634146341463415	0.7682926829268292	0.8402886909958676	0.8335921325051759	0.8478260869565217	0.1937108039855957
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	SGDClassifier	0.8369565217391305	0.5573170731707318	0.7231707317073172	0.8331599750364053	0.8295500843955533	0.8369565217391305	0.13284564018249512
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	LinearSVC	0.8369565217391305	0.5573170731707318	0.7304878048780488	0.8331599750364053	0.8295500843955533	0.8369565217391305	0.8160622119903564
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	PassiveAggressiveClassifier	0.8369565217391305	0.5573170731707318	0.7085365853658536	0.8331599750364053	0.8295500843955533	0.8369565217391305	0.14188289642333984
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	Perceptron	0.8260869565217391	0.551219512195122	0.6707317073170732	0.8260869565217391	0.8260869565217391	0.8260869565217391	0.07387351989746094
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	BaggingClassifier	0.8913043478260869	0.5439024390243903	0.6286585365853657	0.8576002696326256	0.8565217391304347	0.8913043478260869	2.1186931133270264
BAHD	acceptor	acceptor_superclass::Phenylpropanoids (C6-C3)	40	326	0.25	1	RandomForestClassifier	0.8913043478260869	0.5439024390243903	0.7774390243902439	0.8576002696326256	0.8565217391304347	0.8913043478260869	1.1697463989257812
